Timestamp, window size
------------------------
0.00007009432, 2
2.00264120102, 2
3.00402402878, 3
4.00559306145, 4
5.00715517998, 5
6.00867414474, 6
7.01014208794, 7
8.01163816452, 8
9.0131790638, 9
11.0159912109, 9
12.0175352097, 10
14.0202159882, 10
16.022963047, 9
17.0244910717, 10
19.0272171497, 7
20.0287201405, 8
21.0304181576, 9
24.0344460011, 7
26.037197113, 6
28.0399641991, 5
29.0414969921, 6
31.0442540646, 2
32.0458772182, 3
34.0485541821, 2
35.0500659943, 3
40.0563871861, 2
42.0582671165, 2
43.0597720146, 3
46.0635211468, 2
48.0663571358, 2
50.0690901279, 2
52.0720260143, 2
53.0734930038, 3
56.0774531364, 2
58.0802261829, 2
60.0829851627, 2
62.0856461525, 2
64.0884130001, 3
66.0910770893, 2
73.0996551514, 2
76.1036410332, 2
79.1077170372, 2
84.1143200397, 2
89.1208240986, 2
92.124792099, 2
