Timestamp, window size
------------------------
0.00009538173, 2
1.86793518066, 2
1.94172906876, 2
1.97422504425, 2
1.99101805687, 2
2.55444717407, 2
2.71953701973, 2
2.93844509125, 2
3.87043905258, 2
3.98564696312, 2
4.01948809624, 2
4.02810406685, 2
4.98247909546, 2
5.35420608521, 2
5.8978869915, 2
5.98177814484, 2
6.00926113129, 2
6.06741309166, 2
7.36987900734, 2
7.44313097, 2
8.00224900246, 2
8.03975200653, 2
8.10930395126, 2
8.69738507271, 2
9.38554596901, 2
9.92027115822, 2
10.0555551052, 2
10.1414279938, 2
10.1492600441, 2
10.6344411373, 2
11.4285590649, 2
11.9225211143, 2
12.0170910358, 2
12.022493124, 2
12.150755167, 2
12.1905121803, 2
12.6645331383, 2
13.8150560856, 2
14.0476219654, 2
14.2347259521, 2
14.2437281609, 2
15.1396050453, 2
15.4236900806, 2
16.0482549667, 2
16.1584761143, 2
16.3035671711, 2
16.7493309975, 2
17.1433000565, 2
17.1797780991, 2
17.7024521828, 2
17.8381700516, 2
18.1617059708, 2
18.3191580772, 2
18.6194450855, 2
19.1820960045, 2
19.7825200558, 2
20.1633579731, 2
20.3490850925, 2
20.7329921722, 2
21.3484611511, 2
21.7304430008, 2
21.8145389557, 2
22.1668951511, 2
22.6385650635, 2
23.3504440784, 2
23.4379081726, 2
23.8218240738, 2
24.4579241276, 2
24.7604420185, 2
25.2766549587, 2
25.4394881725, 2
25.7645130157, 2
26.1475040913, 2
26.460914135, 2
26.5157079697, 2
26.9250700474, 2
28.162443161, 2
28.5013210773, 2
28.9424769878, 2
29.7406110764, 2
30.5951070786, 2
31.4154191017, 2
31.6015701294, 2
31.7441110611, 2
33.0074319839, 2
33.7144730091, 2
34.0391430855, 2
35.1998221874, 2
35.4846160412, 2
36.8899149895, 2
37.0888800621, 2
37.202491045, 2
37.5644910336, 2
39.1665561199, 2
39.2095899582, 2
39.5798270702, 2
41.2048761845, 2
41.2128431797, 2
41.9448051453, 2
43.0416731834, 2
43.2165310383, 2
43.2472550869, 2
45.2181761265, 2
45.2446579933, 2
46.1303441525, 2
47.248032093, 2
49.2301921844, 2
49.3662700653, 2
51.2350051403, 2
51.4037511349, 2
53.2383151054, 2
53.4434859753, 2
55.2625069618, 2
55.715996027, 2
57.5218920708, 2
59.268321991, 2
59.7211601734, 2
61.5989201069, 2
63.2745070457, 2
63.7264881134, 2
65.7320699692, 2
67.7338459492, 2
69.7542710304, 2
71.7935249805, 2
73.8313791752, 2
75.8707151413, 2
77.9340651035, 2
79.9474730492, 2
83.3026270866, 2
87.3797960281, 2
89.5007779598, 2
91.6224091053, 2
93.743571043, 2
95.8655161858, 2
97.9869749546, 2
100.10858202, 2
102.230020046, 2
104.351605177, 2
106.472908974, 2
108.59427309, 2
110.71778512, 2
112.840988159, 2
114.962659121, 2
117.082483053, 2
119.203852177, 2
121.325320005, 2
123.447946072, 2
125.566498041, 2
127.689037085, 2
129.810048103, 2
