Timestamp, window size
------------------------
0.00007104873, 2
4.00602316856, 2
4.40693497658, 3
4.80788612366, 4
5.60930418968, 4
8.0135409832, 5
8.81503915787, 4
9.61651015282, 3
10.4180240631, 2
12.0208129883, 2
12.4216220379, 3
13.2231860161, 3
14.0247399807, 3
14.8262031078, 3
16.4289741516, 3
17.2305619717, 3
18.0321190357, 3
18.4330871105, 4
19.2347409725, 2
20.036026001, 2
20.4369351864, 3
21.6389501095, 2
22.039755106, 3
22.8411991596, 2
23.6427190304, 2
24.444081068, 2
24.8450021744, 3
26.0469901562, 2
26.4479410648, 3
27.6500370502, 2
28.4514651299, 2
28.8522880077, 3
29.6539030075, 2
30.0546929836, 3
30.8563129902, 3
31.6579210758, 2
32.4593880177, 2
33.2609980106, 2
34.062787056, 2
34.86434412, 2
35.6664581299, 2
36.4683179855, 2
37.2702260017, 2
38.0719330311, 3
39.2740910053, 2
40.4762020111, 2
41.6783452034, 2
42.0792310238, 3
43.2812991142, 2
44.4834651947, 2
45.2849559784, 2
46.0864989758, 2
46.8880310059, 2
48.490789175, 2
49.6929731369, 2
52.4971621037, 2
53.2986741066, 2
55.7024700642, 2
56.9045209885, 2
58.9080700874, 2
59.7094891071, 2
60.9117450714, 2
62.5144062042, 2
63.7165241241, 2
64.9185740948, 2
66.5210511684, 2
69.7261550426, 2
71.729514122, 2
72.9317569733, 2
74.5345799923, 2
76.9387450218, 2
78.5413410664, 2
80.9453830719, 2
81.7469551563, 2
82.9487659931, 2
85.3530011177, 2
86.9558231831, 2
88.958990097, 2
91.3633100986, 2
93.3667740822, 2
95.7710020542, 2
99.3763639927, 2
100.979012012, 2
102.58160615, 2
104.985341072, 2
107.389177084, 2
111.396054983, 2
115.402211189, 2
116.203675032, 2
119.809741974, 2
120.611199141, 2
123.816838026, 3
127.82290411, 2
128.624407053, 2
133.031661034, 2
136.637778044, 2
140.2432971, 2
141.044793129, 2
145.051727057, 2
148.257198095, 2
152.663949013, 2
162.278700113, 2
166.685988188, 2
171.092917204, 2
179.50604701, 2
183.913201094, 2
192.726809978, 2
197.134299994, 2
201.54108119, 2
205.948197126, 2
210.355360031, 2
214.762159109, 2
219.169176102, 2
223.576444149, 2
227.98327899, 2
232.390498161, 2
236.79717207, 2
241.203754187, 2
245.610435009, 2
250.017603159, 2
